Year,State,Hispanic
2010,Alabama,
2010,Alaska,
2010,Arizona,105286
2010,Arkansas,5533
2010,California,1085898
2010,Colorado,57470
2010,Connecticut,12395
2010,Delaware,
2010,District of Columbia,
2010,Florida,210476
2010,Georgia,26084
2010,Hawaii,7419
2010,Idaho,6189
2010,Illinois,107078
2010,Indiana,19051
2010,Iowa,2578
2010,Kansas,10847
2010,Kentucky,
2010,Louisiana,
2010,Maine,
2010,Maryland,13317
2010,Massachusetts,42148
2010,Michigan,24891
2010,Minnesota,
2010,Mississippi,
2010,Missouri,
2010,Montana,489
2010,Nebraska,8365
2010,Nevada,19799
2010,New Hampshire,
2010,New Jersey,89827
2010,New Mexico,58309
2010,New York,153833
2010,North Carolina,26588
2010,North Dakota,
2010,Ohio,21274
2010,Oklahoma,14258
2010,Oregon,
2010,Pennsylvania,29786
2010,Rhode Island,4091
2010,South Carolina,
2010,South Dakota,
2010,Tennessee,
2010,Texas,562856
2010,Utah,9955
2010,Vermont,
2010,Virginia,
2010,Washington,28830
2010,West Virginia,
2010,Wisconsin,
2010,Wyoming,1689
2010,Guam,1668
2010,Puerto Rico,358388
2010,Virgin Islands of the U.S.,1188
2011,Alabama,
2011,Alaska,
2011,Arizona,143996
2011,Arkansas,
2011,California,768180
2011,Colorado,69289
2011,Connecticut,38402
2011,Delaware,2434
2011,District of Columbia,
2011,Florida,298304
2011,Georgia,34817
2011,Hawaii,6376
2011,Idaho,10584
2011,Illinois,135936
2011,Indiana,18978
2011,Iowa,
2011,Kansas,16520
2011,Kentucky,8201
2011,Louisiana,12097
2011,Maine,
2011,Maryland,16502
2011,Massachusetts,41779
2011,Michigan,33389
2011,Minnesota,9659
2011,Mississippi,
2011,Missouri,
2011,Montana,
2011,Nebraska,6532
2011,Nevada,47500
2011,New Hampshire,
2011,New Jersey,118122
2011,New Mexico,76582
2011,New York,242332
2011,North Carolina,36486
2011,North Dakota,
2011,Ohio,
2011,Oklahoma,21157
2011,Oregon,
2011,Pennsylvania,48529
2011,Rhode Island,8902
2011,South Carolina,
2011,South Dakota,
2011,Tennessee,
2011,Texas,721333
2011,Utah,13373
2011,Vermont,
2011,Virginia,45722
2011,Washington,29085
2011,West Virginia,
2011,Wisconsin,
2011,Wyoming,2588
2011,Guam,880
2011,Puerto Rico,374651
2011,Virgin Islands of the U.S.,
2012,Alabama,5478
2012,Alaska,3316
2012,Arizona,159024
2012,Arkansas,
2012,California,1115180
2012,Colorado,82562
2012,Connecticut,39705
2012,Delaware,
2012,District of Columbia,
2012,Florida,420198
2012,Georgia,39781
2012,Hawaii,7132
2012,Idaho,
2012,Illinois,128957
2012,Indiana,26176
2012,Iowa,7594
2012,Kansas,17228
2012,Kentucky,
2012,Louisiana,10478
2012,Maine,
2012,Maryland,25701
2012,Massachusetts,47036
2012,Michigan,41344
2012,Minnesota,19009
2012,Mississippi,
2012,Missouri,18591
2012,Montana,293
2012,Nebraska,7632
2012,Nevada,41166
2012,New Hampshire,
2012,New Jersey,109593
2012,New Mexico,77815
2012,New York,283830
2012,North Carolina,33929
2012,North Dakota,
2012,Ohio,23897
