Year,State,Non-Hispanic Black
2010,Alabama,144479
2010,Alaska,
2010,Arizona,
2010,Arkansas,24042
2010,California,167938
2010,Colorado,12187
2010,Connecticut,13311
2010,Delaware,8899
2010,District of Columbia,30077
2010,Florida,196832
2010,Georgia,194287
2010,Hawaii,
2010,Idaho,
2010,Illinois,197250
2010,Indiana,52348
2010,Iowa,
2010,Kansas,10779
2010,Kentucky,23531
2010,Louisiana,129029
2010,Maine,
2010,Maryland,141950
2010,Massachusetts,25619
2010,Michigan,138458
2010,Minnesota,
2010,Mississippi,110025
2010,Missouri,63542
2010,Montana,
2010,Nebraska,4016
2010,Nevada,12486
2010,New Hampshire,
2010,New Jersey,123539
2010,New Mexico,
2010,New York,258563
2010,North Carolina,193634
2010,North Dakota,
2010,Ohio,130566
2010,Oklahoma,26264
2010,Oregon,
2010,Pennsylvania,129746
2010,Rhode Island,2138
2010,South Carolina,124497
2010,South Dakota,
2010,Tennessee,84358
2010,Texas,263176
2010,Utah,
2010,Vermont,
2010,Virginia,97352
2010,Washington,8701
2010,West Virginia,4958
2010,Wisconsin,17975
2010,Wyoming,
2010,Guam,
2010,Puerto Rico,
2010,Virgin Islands of the U.S.,4329
2011,Virgin Islands of the U.S.,
2011,Alabama,119895
2011,Alaska,
2011,Arizona,25266
2011,Arkansas,35563
2011,California,207662
2011,Colorado,14391
2011,Connecticut,33437
2011,Delaware,17471
2011,District of Columbia,34137
2011,Florida,241674
2011,Georgia,231254
2011,Hawaii,
2011,Idaho,
2011,Illinois,167624
2011,Indiana,51660
2011,Iowa,4164
2011,Kansas,15991
2011,Kentucky,34012
2011,Louisiana,159243
2011,Maine,
2011,Maryland,150921
2011,Massachusetts,29746
2011,Michigan,123969
2011,Minnesota,12109
2011,Mississippi,110401
2011,Missouri,51602
2011,Montana,
2011,Nebraska,5800
2011,Nevada,25411
2011,New Hampshire,
2011,New Jersey,81063
2011,New Mexico,3160
2011,New York,284855
2011,North Carolina,191349
2011,North Dakota,
2011,Ohio,144043
2011,Oklahoma,26986
2011,Oregon,
2011,Pennsylvania,104944
2011,Rhode Island,
2011,South Carolina,149524
2011,South Dakota,
2011,Tennessee,88867
2011,Texas,242149
2011,Utah,
2011,Vermont,
2011,Virginia,148699
2011,Washington,16372
2011,West Virginia,4326
2011,Wisconsin,35321
2011,Wyoming,
2011,Guam,
2011,Puerto Rico,
2012,Virgin Islands of the U.S.,
2012,Alabama,145046
2012,Alaska,
2012,Arizona,27553
2012,Arkansas,44188
2012,California,245676
2012,Colorado,18968
2012,Connecticut,30251
2012,Delaware,17710
2012,District of Columbia,31809
2012,Florida,279193
2012,Georgia,246228
2012,Hawaii,
2012,Idaho,
2012,Illinois,135761
2012,Indiana,56418
2012,Iowa,6412
2012,Kansas,16687
2012,Kentucky,29948
2012,Louisiana,158516
2012,Maine,
2012,Maryland,170858
2012,Massachusetts,33380
2012,Michigan,138625
2012,Minnesota,9263
2012,Mississippi,114551
2012,Missouri,68773
2012,Montana,
2012,Nebraska,5850
2012,Nevada,12973
2012,New Hampshire,
2012,New Jersey,110684
2012,New Mexico,
2012,New York,249346
2012,North Carolina,217560
2012,North Dakota,
2012,Ohio,160799
2012,Oklahoma,23982
2012,Oregon,
2012,Pennsylvania,132897
2012,Rhode Island,3792
2012,South Carolina,135834
2012,South Dakota,
2012,Tennessee,95494
2012,Texas,292928
2012,Utah,
2012,Vermont,
2012,Virginia,170472
2012,Washington,20951
2012,West Virginia,6536
2012,Wisconsin,29278
2012,Wyoming,
2012,Guam,
2012,Puerto Rico,
2013,Virgin Islands of the U.S.,
2013,Alabama,166965
2013,Alaska,
2013,Arizona,27162
2013,Arkansas,45213
2013,California,340363
2013,Colorado,12752
2013,Connecticut,35302
2013,Delaware,22861
2013,District of Columbia,32080
2013,Florida,249245
2013,Georgia,297720
2013,Hawaii,
2013,Idaho,
2013,Illinois,180650
2013,Indiana,58069
2013,Iowa,
2013,Kansas,15658
2013,Kentucky,25795
2013,Louisiana,158190
2013,Maine,93
2013,Maryland,145211
2013,Massachusetts,38672
2013,Michigan,118534
2013,Minnesota,16128
2013,Mississippi,114605
2013,Missouri,59546
2013,Montana,
2013,Nebraska,6644
2013,Nevada,23118
2013,New Hampshire,
2013,New Jersey,100019
2013,New Mexico,4323
2013,New York,342061
2013,North Carolina,237621
2013,North Dakota,
2013,Ohio,117400
2013,Oklahoma,31283
2013,Oregon,
2013,Pennsylvania,128017
2013,Rhode Island,5636
2013,South Carolina,161023
2013,South Dakota,
2013,Tennessee,116001
2013,Texas,291796
2013,Utah,
2013,Vermont,
2013,Virginia,181757
2013,Washington,18146
2013,West Virginia,8357
2013,Wisconsin,36206
2013,Wyoming,
2013,Guam,
2013,Puerto Rico,
2014,Virgin Islands of the U.S.,
2014,Alabama,147598
2014,Alaska,
2014,Arizona,20276
2014,Arkansas,56002
2014,California,309440
2014,Colorado,15266
2014,Connecticut,45148
2014,Delaware,22673
2014,District of Columbia,33555
2014,Florida,306710
2014,Georgia,316256
2014,Hawaii,
2014,Idaho,
2014,Illinois,188106
2014,Indiana,51824
2014,Iowa,8500
2014,Kansas,19903
2014,Kentucky,40390
2014,Louisiana,158115
2014,Maine,
2014,Maryland,165563
2014,Massachusetts,34877
2014,Michigan,138985
2014,Minnesota,25224
2014,Mississippi,123836
2014,Missouri,90434
2014,Montana,
2014,Nebraska,8916
2014,Nevada,24362
2014,New Hampshire,
2014,New Jersey,102296
2014,New Mexico,4874
2014,New York,304261
2014,North Carolina,236510
2014,North Dakota,
2014,Ohio,172924
2014,Oklahoma,26282
2014,Oregon,
2014,Pennsylvania,146697
2014,Rhode Island,3884
2014,South Carolina,147222
2014,South Dakota,
2014,Tennessee,128067
2014,Texas,294200
2014,Utah,
2014,Vermont,
2014,Virginia,181398
2014,Washington,16593
2014,West Virginia,9179
2014,Wisconsin,39858
2014,Wyoming,
2014,Guam,
2014,Puerto Rico,
2015,Virgin Islands of the U.S.,
2015,Alabama,158043
2015,Alaska,
2015,Arizona,24563
2015,Arkansas,55207
2015,California,232648
2015,Colorado,17920
2015,Connecticut,37611
2015,Delaware,21983
2015,District of Columbia,35204
2015,Florida,296821
2015,Georgia,301384
2015,Hawaii,
2015,Idaho,
2015,Illinois,195818
2015,Indiana,60164
2015,Iowa,4875
2015,Kansas,16888
2015,Kentucky,40219
2015,Louisiana,181382
2015,Maine,
2015,Maryland,167167
2015,Massachusetts,41387
2015,Michigan,134552
2015,Minnesota,21505
2015,Mississippi,133867
2015,Missouri,77836
2015,Montana,
2015,Nebraska,7138
2015,Nevada,29165
2015,New Hampshire,
2015,New Jersey,106679
2015,New Mexico,7179
2015,New York,252654
2015,North Carolina,238121
2015,North Dakota,94
2015,Ohio,145262
2015,Oklahoma,29310
2015,Oregon,
2015,Pennsylvania,136525
2015,Rhode Island,5178
2015,South Carolina,144626
2015,South Dakota,
2015,Tennessee,137917
2015,Texas,396967
2015,Utah,
2015,Vermont,
2015,Virginia,173195
2015,Washington,20092
2015,West Virginia,8806
2015,Wisconsin,28391
2015,Wyoming,
2015,Guam,
2015,Puerto Rico,
2016,Alabama,162411
2016,Alaska,
2016,Arizona,30484
2016,Arkansas,52877
2016,California,180033
2016,Colorado,11106
2016,Connecticut,41295
2016,Delaware,19570
2016,District of Columbia,33039
2016,Florida,338822
2016,Georgia,300650
2016,Hawaii,
2016,Idaho,
2016,Illinois,209518
2016,Indiana,70128
2016,Iowa,
2016,Kansas,18839
2016,Kentucky,38020
2016,Louisiana,148405
2016,Maine,
2016,Maryland,185000
2016,Massachusetts,46609
2016,Michigan,128903
2016,Minnesota,19552
2016,Mississippi,133100
2016,Missouri,70473
2016,Montana,
2016,Nebraska,6373
2016,Nevada,32276
2016,New Hampshire,
2016,New Jersey,133086
2016,New Mexico,
2016,New York,298068
2016,North Carolina,241730
2016,North Dakota,
2016,Ohio,128586
2016,Oklahoma,30184
2016,Oregon,
2016,Pennsylvania,148630
2016,Rhode Island,3797
2016,South Carolina,160532
2016,South Dakota,217
2016,Tennessee,97502
2016,Texas,357271
2016,Utah,
2016,Vermont,
2016,Virginia,181423
2016,Washington,24570
2016,West Virginia,8133
2016,Wisconsin,34185
2016,Wyoming,
2016,Guam,
2016,Puerto Rico,
2016,Virgin Islands of the U.S.,7461
2017,Virgin Islands of the U.S.,
2017,Alabama,148533
2017,Alaska,
2017,Arizona,24844
2017,Arkansas,42289
2017,California,244606
2017,Colorado,15620
2017,Connecticut,40275
2017,Delaware,17722
2017,District of Columbia,30424
2017,Florida,265929
2017,Georgia,269831
2017,Hawaii,
2017,Idaho,
2017,Illinois,191582
2017,Indiana,64993
2017,Iowa,8262
2017,Kansas,17719
2017,Kentucky,29378
2017,Louisiana,179641
2017,Maine,
2017,Maryland,184407
2017,Massachusetts,31564
2017,Michigan,147876
2017,Minnesota,17418
2017,Mississippi,125111
2017,Missouri,68151
2017,Montana,
2017,Nebraska,9181
2017,Nevada,29221
2017,New Hampshire,
2017,New Jersey,117340
2017,New Mexico,
2017,New York,310201
2017,North Carolina,282354
2017,North Dakota,
2017,Ohio,149266
2017,Oklahoma,25620
2017,Oregon,
2017,Pennsylvania,148920
2017,Rhode Island,3735
2017,South Carolina,173711
2017,South Dakota,
2017,Tennessee,127431
2017,Texas,381184
2017,Utah,
2017,Vermont,
2017,Virginia,212769
2017,Washington,20141
2017,West Virginia,6902
2017,Wisconsin,39680
2017,Wyoming,
2017,Guam,
2017,Puerto Rico,
2018,Virgin Islands of the U.S.,
2018,Alabama,167579
2018,Alaska,
2018,Arizona,27804
2018,Arkansas,55326
2018,California,252794
2018,Colorado,13719
2018,Connecticut,41770
2018,Delaware,23846
2018,District of Columbia,35913
2018,Florida,372617
2018,Georgia,363318
2018,Hawaii,
2018,Idaho,
2018,Illinois,160555
2018,Indiana,63621
2018,Iowa,11293
2018,Kansas,21503
2018,Kentucky,38708
2018,Louisiana,190622
2018,Maine,
2018,Maryland,203670
2018,Massachusetts,35402
2018,Michigan,154714
2018,Minnesota,24692
2018,Mississippi,129310
2018,Missouri,72284
2018,Montana,
2018,Nebraska,8206
2018,Nevada,31313
2018,New Hampshire,
2018,New Jersey,127759
2018,New Mexico,4767
2018,New York,310725
2018,North Carolina,265498
2018,North Dakota,
2018,Ohio,136656
2018,Oklahoma,30043
2018,Oregon,
2018,Pennsylvania,167758
2018,Rhode Island,3814
2018,South Carolina,173348
2018,South Dakota,
2018,Tennessee,115877
2018,Texas,354612
2018,Utah,
2018,Vermont,
2018,Virginia,176164
2018,Washington,31090
2018,West Virginia,5236
2018,Wisconsin,22903
2018,Wyoming,
2018,Guam,
2018,Puerto Rico,
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2019,Alabama,166066
2019,Alaska,
2019,Arizona,44215
2019,Arkansas,61198
2019,California,241384
2019,Colorado,16186
2019,Connecticut,42536
2019,Delaware,27894
2019,District of Columbia,39711
2019,Florida,375870
2019,Georgia,368390
2019,Hawaii,
2019,Idaho,
2019,Illinois,167633
2019,Indiana,80279
2019,Iowa,12288
2019,Kansas,19251
2019,Kentucky,36258
2019,Louisiana,162271
2019,Maine,
2019,Maryland,193927
2019,Massachusetts,46555
2019,Michigan,146370
2019,Minnesota,26518
2019,Mississippi,140583
2019,Missouri,61369
2019,Montana,
2019,Nebraska,9917
2019,Nevada,29290
2019,New Hampshire,
2019,New Mexico,
2019,New York,307986
2019,North Carolina,239391
2019,North Dakota,
2019,Ohio,155374
2019,Oklahoma,32356
2019,Oregon,
2019,Pennsylvania,165603
2019,Rhode Island,4750
2019,South Carolina,163884
2019,South Dakota,
2019,Tennessee,145753
2019,Texas,302800
2019,Utah,
2019,Vermont,
2019,Virginia,214623
2019,Washington,26949
2019,West Virginia,7490
2019,Wisconsin,
2019,Wyoming,
2019,Guam,
2019,Puerto Rico,
2020,Virgin Islands of the U.S.,
2020,Alabama,174303
2020,Alaska,
2020,Arizona,36517
2020,Arkansas,56095
2020,California,283513
2020,Colorado,21220
2020,Connecticut,37993
2020,Delaware,31841
2020,District of Columbia,31742
2020,Florida,311769
2020,Georgia,306268
2020,Hawaii,
2020,Idaho,
2020,Illinois,216521
2020,Indiana,65884
2020,Iowa,13048
2020,Kansas,26756
2020,Kentucky,41252
2020,Louisiana,200193
2020,Maine,
2020,Maryland,170327
2020,Massachusetts,37461
2020,Michigan,166434
2020,Minnesota,34767
2020,Mississippi,142812
2020,Missouri,63119
2020,Montana,
2020,Nebraska,12494
2020,Nevada,31769
2020,New Hampshire,
2020,New Jersey,113905
2020,New Mexico,
2020,New York,316356
2020,North Carolina,288956
2020,North Dakota,
2020,Ohio,163380
2020,Oklahoma,43529
2020,Oregon,
2020,Pennsylvania,194894
2020,Rhode Island,5614
2020,South Carolina,204532
2020,South Dakota,87
2020,Tennessee,140271
2020,Texas,400540
2020,Utah,
2020,Vermont,
2020,Virginia,216482
2020,Washington,27141
2020,West Virginia,6728
2020,Wisconsin,25964
2020,Wyoming,
2020,Guam,
2020,Puerto Rico,
